,지번주소,도로명,건물(단지)명,전용면적(㎡),거래금액(만원),층,건축년도,계약날짜기준_건물연식,계약날짜,단가(만원/㎡),건물연식,부동산유형,소유자
2154,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.5,49500,5,2019.0,0.0,2019-12-06,1800.0,2.0,연립다세대,LH
2155,서울특별시 강남구 역삼동 751-6,역삼로11길 18,역삼에르스떼,27.5,50300,6,2019.0,0.0,2019-12-06,1829.090909090909,2.0,연립다세대,LH
2227,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,22.42,30850,4,2021.0,0.0,2021-04-14,1376.0035682426403,0.0,연립다세대,SH
2228,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,24.8,35150,4,2021.0,0.0,2021-04-14,1417.3387096774193,0.0,연립다세대,SH
2229,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,27.32,38350,2,2021.0,0.0,2021-04-14,1403.7335285505123,0.0,연립다세대,SH
2230,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,27.32,38550,3,2021.0,0.0,2021-04-14,1411.0541727672037,0.0,연립다세대,SH
2231,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,29.42,41100,2,2021.0,0.0,2021-04-14,1397.0088375254927,0.0,연립다세대,SH
2232,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,29.42,41300,3,2021.0,0.0,2021-04-14,1403.8069340584636,0.0,연립다세대,SH
2233,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,29.86,42150,4,2021.0,0.0,2021-04-14,1411.58740790355,0.0,연립다세대,SH
2234,서울특별시 강남구 역삼동 777-11,도곡로27길 40,백년빌,29.96,40950,5,2021.0,0.0,2021-04-14,1366.822429906542,0.0,연립다세대,SH
